"response_id";"response_valid";"form";"access";"respondent_id";"respondent_apikey";"respondent_index";"question_id";"question_type";"question_required";"question_title";"question_note";"nominal";"nominal_title";"entity_1";"entity_1_title";"entity_2";"entity_2_title";"factor";"factor_title";"effect";"effect_title";"min";"max";"value";"value_title"
"5c39b170327cb41c1df5d90c";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T09:20:48.447Z";"pxc28f5u93";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;2;"low"
"5c39b1bc327cb41c1df5d90d";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T09:22:04.101Z";"31o0dzkrr4x";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;5;"highest"
"5c3a3331327cb41c1df5d911";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T18:45:26.164Z";"5a37c84a4dd564c00875a351";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;5;"highest"
"5c3a3709327cb41c1df5d912";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T18:50:49.838Z";;"1563lp05c9f1q0febiss4j";;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;7;"very high"
"5c3a4601327cb41c1df5d913";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T19:54:41.733Z";;"jj62r4t0tbnm6l6ztvidm";;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;5;"highest"
"5c3a468b327cb41c1df5d914";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-12T19:56:59.193Z";;"0v6enu1lrxd0xi4j6ljm5vn";;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;6;"high"
"5c3b5b2f327cb41c1df5d91c";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:37:19.546Z";"seuwru29p7g";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;4;"middle"
"5c3b5b3b327cb41c1df5d91d";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:37:31.151Z";"k2w7ek082pi";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;2;"low"
"5c3b5b46327cb41c1df5d91e";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:37:42.818Z";"45bf8br2z6u";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;6;"high"
"5c3b5bcb327cb41c1df5d91f";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:39:55.130Z";"0nzuzmcchae";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;3;"lowest"
"5c3b5bd4327cb41c1df5d920";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:40:04.742Z";"op0r3zxov2g";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;4;"middle"
"5c3b5bdd327cb41c1df5d921";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:40:13.429Z";"povtysft4eh";;;"fxacykmjgud";"Rate";true;"All constraints will be checked";"All constraints will be checked";;;;;;;;;;;;;4;"middle"
"5c3b5cb9327cb41c1df5d922";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:43:53.995Z";"g8ceiteh2uu";;;"s48j0s9qls";"Association";true;"";"";;;"m96zr28wqej";"a1";"wkr4dunf6ue";"a2";;;;;;;1;"low"
"5c3b5cb9327cb41c1df5d922";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:43:53.995Z";"g8ceiteh2uu";;;"s48j0s9qls";"Association";true;"";"";;;"m96zr28wqej";"a1";"nho9x4r52e";"a3";;;;;;;3;"middle"
"5c3b5cb9327cb41c1df5d922";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:43:53.995Z";"g8ceiteh2uu";;;"s48j0s9qls";"Association";true;"";"";;;"wkr4dunf6ue";"a2";"nho9x4r52e";"a3";;;;;;;2;
"5c3b5db6327cb41c1df5d923";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:48:06.125Z";"gultyvciwkt";;;"arbrux51dfa";"Influence";true;"";"";;;;;;;"oaw38n92upm";"f1";"ik87rveq858";"e1";;;1;"l"
"5c3b5db6327cb41c1df5d923";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:48:06.125Z";"gultyvciwkt";;;"arbrux51dfa";"Influence";true;"";"";;;;;;;"oaw38n92upm";"f1";"uhv3wfm9c6n";"e2";;;3;"m"
"5c3b5db6327cb41c1df5d923";true;"5c38b9a9327cb41c1df5d8ea";"2019-01-13T15:48:06.125Z";"gultyvciwkt";;;"arbrux51dfa";"Influence";true;"";"";;;;;;;"5r59xuko81";"f2";"vdk4ecekpc8";"e3";;;5;"h"
